date,district,day_of_week,is_holiday,temperature_c,humidity_pct,customer_count,distributed_solar_mw,peak_load_mw,overload_flag
2025-01-01,Bang Kapi,0,0,34.5,61,38548,3.7,188.4,1
2025-01-01,Bang Khen,0,0,30.3,61,38840,6.4,185.2,1
2025-01-01,Bang Kho Laem,0,0,32.9,61,32947,4.8,190,1
2025-01-01,Din Daeng,0,0,30.2,68,49446,4.7,190,1
2025-01-01,Khlong Toei,0,0,29.3,74,45290,5.2,190,1
2025-01-01,Lat Phrao,0,0,26.8,50,39075,6.1,169.4,1
2025-01-01,Phaya Thai,0,0,29.8,78,60958,4.9,190,1
2025-01-01,Thon Buri,0,0,32.8,66,44504,3.9,190,1
2025-01-02,Bang Kapi,1,0,32.1,76,32069,4.9,190,1
2025-01-02,Bang Khen,1,0,30.9,69,26589,3.5,181.5,1
2025-01-02,Bang Kho Laem,1,0,29.9,66,40864,5.9,173.9,1
2025-01-02,Din Daeng,1,0,26,74,44292,6,167.9,1
2025-01-02,Khlong Toei,1,0,31.3,61,51223,3.9,190,1
2025-01-02,Lat Phrao,1,0,32.5,73,50377,3.3,190,1
2025-01-02,Phaya Thai,1,0,31.4,69,50592,4.6,190,1
2025-01-02,Thon Buri,1,0,31.7,62,45591,7,175.6,1
2025-01-03,Bang Kapi,2,0,28.5,70,40521,4.8,182.5,1
2025-01-03,Bang Khen,2,0,29.3,66,42686,4.8,190,1
2025-01-03,Bang Kho Laem,2,0,30,83,38205,5.5,186.1,1
2025-01-03,Din Daeng,2,0,30.7,64,35728,1.5,187.8,1
2025-01-03,Khlong Toei,2,0,30.8,69,48339,3.7,190,1
2025-01-03,Lat Phrao,2,0,32.6,75,41917,4.2,190,1
2025-01-03,Phaya Thai,2,0,30.4,59,47885,4.1,190,1
2025-01-03,Thon Buri,2,0,34.7,67,36206,6.8,182.1,1
2025-01-04,Bang Kapi,3,0,30.9,65,48247,6.1,190,1
2025-01-04,Bang Khen,3,0,31.9,52,37261,6.3,187,1
2025-01-04,Bang Kho Laem,3,0,30.3,75,47895,6.4,190,1
2025-01-04,Din Daeng,3,0,27.9,73,46100,3.3,173.7,1
2025-01-04,Khlong Toei,3,0,30.8,58,41747,4.4,190,1
2025-01-04,Lat Phrao,3,0,29,58,64251,4.5,190,1
2025-01-04,Phaya Thai,3,0,34.2,65,37781,2.3,190,1
2025-01-04,Thon Buri,3,0,29.9,71,38056,5.2,170.8,1
2025-01-05,Bang Kapi,4,0,34.1,86,48445,1.5,190,1
2025-01-05,Bang Khen,4,0,32.4,69,38655,6.9,190,1
2025-01-05,Bang Kho Laem,4,0,33.5,54,43025,7.2,189.5,1
2025-01-05,Din Daeng,4,0,30.2,64,42312,3.8,190,1
2025-01-05,Khlong Toei,4,0,34.5,66,43828,3.7,190,1
2025-01-05,Lat Phrao,4,0,30.4,63,37527,3.5,180.4,1
2025-01-05,Phaya Thai,4,0,28.1,74,41338,3.9,189.3,1
2025-01-05,Thon Buri,4,0,27.8,72,44191,2.4,168.4,1
2025-01-06,Bang Kapi,5,0,31.4,67,56391,3.8,185.7,1
2025-01-06,Bang Khen,5,0,28.8,79,42783,3.8,172,1
2025-01-06,Bang Kho Laem,5,0,29.9,74,25693,3.5,190,1
