meter_id,district,customer_type,reading_date,kwh_current_month,kwh_previous_month,days_since_last_read,voltage_event_count_30d,estimated_read_flag,meter_age_years,anomaly_label
M000001,Lat Phrao,Residential,2025-06-28,392,483,20,1,0,16,0
M000002,Bang Kapi,Industrial,2025-06-22,5,6393,56,4,0,12,1
M000003,Din Daeng,Residential,2025-05-27,614,614,28,2,0,6,0
M000004,Bang Khen,Mixed,2025-05-16,587,433,38,0,0,6,0
M000005,Phaya Thai,Commercial,2025-05-27,2085,2227,25,1,0,1,0
M000006,Bang Kapi,Residential,2025-05-21,309,578,42,0,0,11,0
M000007,Din Daeng,Commercial,2025-05-16,2109,2192,35,2,0,19,0
M000008,Din Daeng,Government,2025-06-24,2761,3188,25,1,0,9,0
M000009,Lat Phrao,Industrial,2025-06-02,6569,5134,26,1,0,1,0
M000010,Bang Khen,Government,2025-07-29,3271,3506,36,1,0,13,0
M000011,Lat Phrao,Commercial,2025-06-17,3112,1469,52,1,0,7,0
M000012,Phaya Thai,Commercial,2025-07-17,1309,2320,35,1,0,4,0
M000013,Phaya Thai,Mixed,2025-05-04,649,493,25,0,0,1,0
M000014,Thon Buri,Residential,2025-07-08,498,514,29,0,0,8,0
M000015,Lat Phrao,Commercial,2025-05-10,2420,1861,26,0,0,6,0
M000016,Din Daeng,Commercial,2025-07-18,1715,2147,38,0,0,4,0
M000017,Bang Kapi,Mixed,2025-06-24,358,662,33,3,0,15,0
M000018,Din Daeng,Mixed,2025-07-17,401,526,40,1,0,14,0
M000019,Bang Kapi,Government,2025-06-20,3311,2846,38,3,0,8,0
M000020,Phaya Thai,Industrial,2025-06-26,8887,7166,27,2,0,3,0
M000021,Phaya Thai,Industrial,2025-06-25,7963,7611,30,0,0,9,0
M000022,Din Daeng,Industrial,2025-05-28,6906,8810,23,0,0,14,0
M000023,Thon Buri,Mixed,2025-07-19,648,404,28,2,0,2,0
M000024,Phaya Thai,Commercial,2025-07-16,2392,2857,28,1,0,7,0
M000025,Din Daeng,Government,2025-06-24,3546,3324,36,1,0,12,0
M000026,Bang Kapi,Mixed,2025-07-16,531,451,20,1,0,3,0
M000027,Thon Buri,Industrial,2025-05-16,8751,9227,42,0,0,9,0
M000028,Din Daeng,Industrial,2025-05-04,11760,8140,22,3,0,8,0
M000029,Lat Phrao,Government,2025-07-21,4132,2526,23,2,0,8,0
M000030,Bang Kho Laem,Commercial,2025-06-15,2857,2895,29,0,0,9,0
M000031,Bang Khen,Industrial,2025-05-11,6720,5944,29,2,0,16,0
M000032,Lat Phrao,Mixed,2025-05-27,298,510,27,0,0,11,0
M000033,Din Daeng,Government,2025-05-16,3027,4045,26,1,0,16,0
M000034,Khlong Toei,Government,2025-07-06,3358,2548,33,1,0,9,0
M000035,Lat Phrao,Mixed,2025-06-22,94,418,39,5,1,5,1
M000036,Bang Khen,Commercial,2025-06-22,2879,1489,34,0,0,13,0
M000037,Thon Buri,Commercial,2025-06-22,2274,1765,35,0,0,8,0
M000038,Bang Kapi,Residential,2025-05-02,505,400,34,2,0,3,0
M000039,Thon Buri,Government,2025-06-16,3451,2709,23,0,0,4,0
M000040,Khlong Toei,Commercial,2025-06-16,1207,2244,41,3,0,15,0
M000041,Khlong Toei,Industrial,2025-07-07,5940,6859,27,0,0,3,0
M000042,Din Daeng,Government,2025-05-04,2746,2444,24,0,0,8,0
M000043,Khlong Toei,Industrial,2025-05-28,10532,7493,31,3,1,12,0
M000044,Bang Kho Laem,Industrial,2025-06-24,4524,9553,32,0,0,22,0
M000045,Lat Phrao,Residential,2025-06-29,662,573,38,2,0,7,0
M000046,Bang Kapi,Mixed,2025-05-25,588,397,26,0,0,15,0
M000047,Phaya Thai,Residential,2025-07-22,521,558,31,2,0,5,0
M000048,Din Daeng,Government,2025-06-19,4127,3179,37,3,0,5,0
M000049,Din Daeng,Residential,2025-06-19,630,432,30,1,0,11,0
M000050,Phaya Thai,Industrial,2025-06-26,7312,10744,33,0,0,4,0
M000051,Bang Khen,Industrial,2025-05-17,9822,8684,31,1,0,2,0
M000052,Lat Phrao,Mixed,2025-06-20,525,571,38,0,0,13,0
M000053,Bang Khen,Government,2025-07-18,3572,3415,23,2,0,7,0
