event_id,service_area_id,district,action_id,action_name,action_group,event_date,prior_complaint_rate,prior_peak_ratio,accepted_flag,satisfaction_rating
EV000001,SA01001,Bang Kapi,A001,Send peak alert,Demand Response,2025-03-09,5.1,1.25,0,
EV000002,SA01001,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-04-19,5.1,1.25,0,
EV000003,SA01001,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-04,5.1,1.25,0,3
EV000004,SA01001,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-03-04,5.1,1.25,0,4
EV000005,SA01001,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-06-08,5.1,1.25,1,4
EV000006,SA01001,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-04-09,5.1,1.25,0,4
EV000007,SA01001,Bang Kapi,A001,Send peak alert,Demand Response,2025-05-25,5.1,1.25,0,4
EV000008,SA01001,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-27,5.1,1.25,1,4
EV000009,SA01002,Bang Kapi,A001,Send peak alert,Demand Response,2025-04-19,4.6,1.64,1,3
EV000010,SA01002,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-03-16,4.6,1.64,0,
EV000011,SA01003,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-01,0.2,1.89,1,
EV000012,SA01003,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-04-19,0.2,1.89,0,
EV000013,SA01003,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-06-01,0.2,1.89,0,
EV000014,SA01003,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-05-11,0.2,1.89,0,
EV000015,SA01003,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-02-02,0.2,1.89,0,
EV000016,SA01003,Bang Kapi,A005,Billing explanation callback,Billing Service,2025-05-05,0.2,1.89,0,
EV000017,SA01004,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-03-13,2.3,1.61,0,
EV000018,SA01004,Bang Kapi,A004,Dispatch voltage quality check,Power Quality,2025-02-11,2.3,1.61,0,
EV000019,SA01004,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-03-17,2.3,1.61,1,
EV000020,SA01004,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-11,2.3,1.61,1,5
EV000021,SA01004,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-04-22,2.3,1.61,0,
EV000022,SA01004,Bang Kapi,A006,Energy efficiency advisory,Efficiency Program,2025-03-18,2.3,1.61,0,
EV000023,SA01005,Bang Kapi,A003,Offer smart meter education,Customer Service,2025-01-23,3,1.14,0,
EV000024,SA01005,Bang Kapi,A002,Schedule preventive inspection,Asset Maintenance,2025-05-11,3,1.14,0,5
